File ID,Filename,File Format,Version,Linked Design ID,Linked Item ID (Portfolio),Design Name,Designer,Software Used,File Size (MB),Export Date,Export Type,Resolution/Spec,Color Profile,Storage Location,Folder Path,Status,Notes
F-001,homepage_hero_banner_v3_FINAL.fig,Figma,v3,D-001,PI-001,Homepage Hero Banner,Priya Sharma,Figma,18.4,2026-06-03,Source File,1440x600px,RGB,Google Drive,/Clients/RetailCo/Summer-Sale/Hero-Banner/,Active,Final approved source file
F-002,homepage_hero_banner_v3_export_web.png,PNG,v3,D-001,PI-001,Homepage Hero Banner,Priya Sharma,Figma,3.2,2026-06-03,Web Export,1440x600 @2x,sRGB,Google Drive,/Clients/RetailCo/Summer-Sale/Hero-Banner/Exports/,Active,Exported for dev handoff
F-003,homepage_hero_banner_v3_export_print.pdf,PDF,v3,D-001,PI-001,Homepage Hero Banner,Priya Sharma,Figma,6.7,2026-06-03,Print Export,300 DPI,CMYK,Google Drive,/Clients/RetailCo/Summer-Sale/Hero-Banner/Exports/,Active,Print-ready backup copy
F-004,mobile_app_onboarding_v2.fig,Figma,v2,D-002,—,Mobile App Onboarding Flow,Arjun Kapoor,Figma,42.1,2026-06-10,Source File,375x812px,RGB,Google Drive,/Clients/FinStart/App-Redesign/Onboarding/,Active,In revision — v3 in progress
F-005,mobile_app_onboarding_v1.fig,Figma,v1,D-002,—,Mobile App Onboarding Flow,Arjun Kapoor,Figma,38.6,2026-06-05,Source File,375x812px,RGB,Google Drive,/Clients/FinStart/App-Redesign/Onboarding/Archive/,Archived,Superseded by v2
F-006,product_launch_email_v1_FINAL.html,HTML,v1,D-003,—,Product Launch Email Template,Nisha Verma,Figma + VS Code,0.4,2026-06-04,Email Export,600px width,sRGB,Google Drive,/Clients/RetailCo/June-Launch/Email/,Active,Deployed to Mailchimp
F-007,product_launch_email_v1.fig,Figma,v1,D-003,—,Product Launch Email Template,Nisha Verma,Figma,9.8,2026-06-02,Source File,600x1800px,RGB,Google Drive,/Clients/RetailCo/June-Launch/Email/,Active,Source file for reference
F-008,instagram_stories_v1_set.fig,Figma,v1,D-004,—,Instagram Story Set (5 slides),Rohan Gupta,Figma,24.3,2026-06-08,Source File,1080x1920px,RGB,Google Drive,/LanternTides/Social/Brand-Awareness/Stories/,Active,Revision pending on slides 3 & 5
F-009,instagram_story_slide1_v1.mp4,MP4,v1,D-004,—,Instagram Story Slide 1 Animated,Rohan Gupta,After Effects,87.5,2026-06-08,Animated Export,1080x1920 @30fps,sRGB,Google Drive,/LanternTides/Social/Brand-Awareness/Stories/Exports/,Active,Motion export for slide 1
F-010,annual_report_cover_v4_FINAL.indd,InDesign,v4,D-005,PI-005,Annual Report Cover Page,Meera Pillai,Adobe InDesign,55.2,2026-06-06,Source File,A4 Portrait,CMYK,Local + Backup Drive,/Clients/Horizon/Annual-Report-2025/Cover/,Active,Print-ready; sent to vendor
F-011,annual_report_cover_v4_print.pdf,PDF,v4,D-005,PI-005,Annual Report Cover Page,Meera Pillai,Adobe InDesign,12.8,2026-06-06,Print Export,300 DPI Bleed,CMYK,Google Drive,/Clients/Horizon/Annual-Report-2025/Cover/Exports/,Active,Vendor print file with bleed and crop marks
F-012,billboard_delhi_v1.ai,Illustrator,v1,D-006,—,Billboard Ad Delhi NCR,Arjun Kapoor,Adobe Illustrator,34.9,2026-06-09,Source File,10x4ft @72dpi,CMYK,Google Drive,/Clients/MediaVision/Q3-OOH/Delhi/,Active,Pending client approval
F-013,billboard_delhi_v1_export.pdf,PDF,v1,D-006,—,Billboard Ad Delhi NCR,Arjun Kapoor,Adobe Illustrator,19.3,2026-06-09,Print Export,300 DPI,CMYK,Google Drive,/Clients/MediaVision/Q3-OOH/Delhi/Exports/,Active,Submitted for review
F-014,linkedin_post_v2_FINAL.fig,Figma,v2,D-007,—,LinkedIn Sponsored Post,Priya Sharma,Figma,5.1,2026-06-10,Source File,1200x627px,RGB,Google Drive,/LanternTides/Social/B2B-LeadGen/LinkedIn/,Active,Approved and scheduled
F-015,linkedin_post_v2_export.jpg,JPG,v2,D-007,—,LinkedIn Sponsored Post,Priya Sharma,Figma,1.4,2026-06-10,Social Export,1200x627 @2x,sRGB,Google Drive,/LanternTides/Social/B2B-LeadGen/LinkedIn/Exports/,Active,Upload-ready for LinkedIn Ads
F-016,packaging_premium_box_v2.ai,Illustrator,v2,D-008,—,Packaging Design Premium Box,Nisha Verma,Adobe Illustrator,48.7,2026-06-02,Source File,Die-line flat,CMYK,Google Drive,/Clients/NaturaBrew/Premium-SKU/Packaging/,Rejected,Color profile and die-line errors; redesign required
F-017,packaging_premium_box_v1.ai,Illustrator,v1,D-008,—,Packaging Design Premium Box,Nisha Verma,Adobe Illustrator,45.2,2026-05-20,Source File,Die-line flat,CMYK,Google Drive,/Clients/NaturaBrew/Premium-SKU/Packaging/Archive/,Archived,Superseded by v2
F-018,404_illustration_v1_FINAL.fig,Figma,v1,D-009,—,404 Error Page Illustration,Rohan Gupta,Figma,11.6,2026-06-12,Source File,800x600px,RGB,Google Drive,/LanternTides/Website/Maintenance/404/,Active,Approved; dev handoff complete
F-019,404_illustration_v1_export.svg,SVG,v1,D-009,—,404 Error Page Illustration,Rohan Gupta,Figma,0.2,2026-06-12,Web Export,Scalable Vector,sRGB,Google Drive,/LanternTides/Website/Maintenance/404/Exports/,Active,SVG exported for web use
F-020,trade_show_booth_v1.psd,Photoshop,v1,D-010,—,Trade Show Booth Backdrop 10x8,Meera Pillai,Adobe Photoshop,312.4,2026-06-06,Source File,10x8ft @150dpi,CMYK,Local + Backup Drive,/Clients/TechNova/Expo-2026/Booth/,Active,Pending reviewer sign-off
F-021,trade_show_booth_v1_export.pdf,PDF,v1,D-010,—,Trade Show Booth Backdrop 10x8,Meera Pillai,Adobe Photoshop,98.7,2026-06-06,Print Export,150 DPI Large Format,CMYK,Google Drive,/Clients/TechNova/Expo-2026/Booth/Exports/,Active,Large format print PDF submitted
F-022,youtube_thumbnail_template_v2.fig,Figma,v2,D-011,—,YouTube Thumbnail Template,Arjun Kapoor,Figma,8.3,2026-06-05,Source File,1280x720px,RGB,Google Drive,/LanternTides/YouTube/Templates/,Active,Master template shared with content team
F-023,youtube_thumbnail_template_v2.png,PNG,v2,D-011,—,YouTube Thumbnail Template,Arjun Kapoor,Figma,2.1,2026-06-05,Web Export,1280x720 @1x,sRGB,Google Drive,/LanternTides/YouTube/Templates/Exports/,Active,Sample export for reference
F-024,brand_style_guide_v3.fig,Figma,v3,D-012,—,Brand Style Guide Update,Priya Sharma,Figma,67.9,2026-06-09,Source File,A4 Multi-page,RGB,Google Drive,/LanternTides/Brand/Style-Guide/,Active,Revision 3 in progress — hex and typography pending
F-025,brand_style_guide_v2.pdf,PDF,v2,D-012,—,Brand Style Guide Update,Priya Sharma,Figma,22.4,2026-05-25,Export,A4 @144dpi,RGB,Google Drive,/LanternTides/Brand/Style-Guide/Archive/,Archived,Previous version superseded
F-026,push_notification_icons_v1.fig,Figma,v1,D-013,—,Push Notification Icons Set,Nisha Verma,Figma,6.7,2026-06-11,Source File,24x24px and 48x48px,RGB,Google Drive,/Clients/FinStart/App-Redesign/Icons/,Active,Pending first review
F-027,push_notification_icons_v1_export.zip,ZIP,v1,D-013,—,Push Notification Icons Set,Nisha Verma,Figma,4.3,2026-06-11,Asset Export,24px / 48px / 96px,sRGB,Google Drive,/Clients/FinStart/App-Redesign/Icons/Exports/,Active,Zipped multi-size export ready
F-028,festival_landing_page_v1.fig,Figma,v1,D-014,—,Festival Sale Landing Page,Rohan Gupta,Figma,29.5,2026-06-04,Source File,1440x3200px,RGB,Google Drive,/Clients/RetailCo/Eid-Sale/Landing-Page/,Rejected,Accessibility issues; redesign initiated
F-029,podcast_cover_art_v1_FINAL.fig,Figma,v1,D-015,—,Podcast Cover Art,Meera Pillai,Figma,7.2,2026-06-12,Source File,3000x3000px,RGB,Google Drive,/LanternTides/Podcast/Cover-Art/,Active,Approved and published
F-030,podcast_cover_art_v1_export.jpg,JPG,v1,D-015,—,Podcast Cover Art,Meera Pillai,Figma,4.8,2026-06-12,Platform Export,3000x3000 @300dpi,sRGB,Google Drive,/LanternTides/Podcast/Cover-Art/Exports/,Active,Uploaded to Spotify and Apple Podcasts
F-031,NID_brand_identity_v1_FINAL.ai,Illustrator,v1,D-016,—,Course Project Brand Identity,Arjun Kapoor,Adobe Illustrator,28.6,2026-05-30,Source File,A3 Presentation,CMYK,Local Drive,/SchoolWork/NID/Sem4-Branding/Brand-Identity/,Submitted,Submitted for grading; grade pending
F-032,NID_brand_identity_v1_submission.pdf,PDF,v1,D-016,—,Course Project Brand Identity,Arjun Kapoor,Adobe Illustrator,14.1,2026-05-30,Academic Submission,A3 @300dpi,CMYK,Local Drive,/SchoolWork/NID/Sem4-Branding/Brand-Identity/Exports/,Submitted,PDF submitted via NID portal
F-033,NID_typographic_poster_series_v1.indd,InDesign,v1,D-017,—,Typographic Poster Series (3),Priya Sharma,Adobe InDesign,41.3,2026-05-10,Source File,A2 Portrait x3,CMYK,Local Drive,/SchoolWork/NID/Sem4-Typography/Posters/,Submitted,Distinction awarded
F-034,NID_typographic_poster_series_v1_print.pdf,PDF,v1,D-017,—,Typographic Poster Series (3),Priya Sharma,Adobe InDesign,18.9,2026-05-10,Print Export,300 DPI,CMYK,Local Drive,/SchoolWork/NID/Sem4-Typography/Posters/Exports/,Submitted,Submission PDF 3 posters combined
F-035,NID_ux_research_deck_v1.fig,Figma,v1,D-018,—,UX Research Presentation Deck,Rohan Gupta,Figma,22.7,2026-06-01,Source File,1920x1080px,RGB,Google Drive,/SchoolWork/NID/Sem4-UX/Research-Deck/,Submitted,Commendation received
F-036,NID_ux_research_deck_v1_export.pdf,PDF,v1,D-018,—,UX Research Presentation Deck,Rohan Gupta,Figma,8.6,2026-06-01,Academic Submission,1920x1080px,RGB,Local Drive,/SchoolWork/NID/Sem4-UX/Research-Deck/Exports/,Submitted,Submitted via NID portal
F-037,NID_editorial_illustration_v1.fig,Figma,v1,D-019,—,Illustration for Editorial Brief,Nisha Verma,Figma + Procreate,19.4,2026-06-05,Source File,210x297mm,RGB,Google Drive,/SchoolWork/NID/Sem4-Editorial/Illustration/,Submitted,Featured in student showcase
F-038,NID_editorial_illustration_v1_export.png,PNG,v1,D-019,—,Illustration for Editorial Brief,Nisha Verma,Procreate,11.2,2026-06-05,Academic Export,300 DPI,sRGB,Local Drive,/SchoolWork/NID/Sem4-Editorial/Illustration/Exports/,Submitted,High-res PNG for print submission
F-039,NID_motion_storyboard_v1.fig,Figma,v1,D-020,—,Motion Graphics Storyboard,Meera Pillai,Figma,15.8,2026-06-10,Source File,1920x1080px,RGB,Google Drive,/SchoolWork/NID/Sem4-Motion/Storyboard/,In Progress,Final submission due Jun 10
F-040,NID_motion_storyboard_v1_draft.pdf,PDF,v1,D-020,—,Motion Graphics Storyboard,Meera Pillai,Figma,5.3,2026-06-10,Draft Export,A4 Landscape,RGB,Local Drive,/SchoolWork/NID/Sem4-Motion/Storyboard/Drafts/,In Progress,Draft shared with instructor for feedback
